,Date,Essential,NonEssential
0,2020-02-01,30725,156372
1,2020-02-02,25158,102050
2,2020-02-03,30854,124439
3,2020-02-04,28720,120286
4,2020-02-05,29434,115575
5,2020-02-06,28450,122226
6,2020-02-07,32962,140905
7,2020-02-08,28895,147914
8,2020-02-09,25759,103232
9,2020-02-10,31760,118030
10,2020-02-11,30178,113119
11,2020-02-12,29758,118364
12,2020-02-13,32427,123508
13,2020-02-14,33399,145429
14,2020-02-15,27353,141057
15,2020-02-16,25674,116261
16,2020-02-17,29020,111215
17,2020-02-18,29429,107497
18,2020-02-19,30549,112759
19,2020-02-20,32408,125463
20,2020-02-21,31620,136067
21,2020-02-22,27713,141721
22,2020-02-23,22980,107559
23,2020-02-24,29776,122093
24,2020-02-25,25835,103107
25,2020-02-26,32883,136326
26,2020-02-27,31932,137301
27,2020-02-28,31017,148074
28,2020-02-29,18964,103430
