,Date,Essential,NonEssential
0,2020-02-01,24827,162270
1,2020-02-02,20042,107166
2,2020-02-03,22959,132334
3,2020-02-04,21333,127673
4,2020-02-05,22237,122772
5,2020-02-06,21287,129389
6,2020-02-07,25434,148433
7,2020-02-08,23550,153259
8,2020-02-09,20656,108335
9,2020-02-10,24134,125656
10,2020-02-11,22836,120461
11,2020-02-12,22384,125738
12,2020-02-13,24979,130956
13,2020-02-14,26545,152283
14,2020-02-15,22409,146001
15,2020-02-16,20718,121217
16,2020-02-17,23519,116716
17,2020-02-18,22524,114402
18,2020-02-19,23335,119973
19,2020-02-20,24953,132918
20,2020-02-21,24439,143248
21,2020-02-22,22750,146684
22,2020-02-23,17835,112704
23,2020-02-24,22312,129557
24,2020-02-25,19813,109129
25,2020-02-26,24305,144904
26,2020-02-27,23815,145418
27,2020-02-28,23360,155731
28,2020-02-29,15005,107389
