,Date,Essential,NonEssential
0,2020-01-01,20110,93270
1,2020-01-02,31068,125011
2,2020-01-03,32111,139191
3,2020-01-04,26188,133131
4,2020-01-05,23814,106879
5,2020-01-06,32778,124843
6,2020-01-07,33854,130671
7,2020-01-08,36331,140565
8,2020-01-09,36129,143867
9,2020-01-10,36180,145155
10,2020-01-11,29690,149475
11,2020-01-12,26036,113847
12,2020-01-13,32629,122160
13,2020-01-14,29796,119144
14,2020-01-15,35502,140504
15,2020-01-16,33631,134817
16,2020-01-17,31624,139119
17,2020-01-18,30300,159164
18,2020-01-19,27092,129578
19,2020-01-20,31312,128499
20,2020-01-21,32925,129558
21,2020-01-22,35690,137996
22,2020-01-23,33688,136845
23,2020-01-24,37914,159484
24,2020-01-25,24899,131724
25,2020-01-26,25463,115093
26,2020-01-27,35804,140942
27,2020-01-28,31423,126709
28,2020-01-29,31994,127199
29,2020-01-30,33813,136026
30,2020-01-31,39055,158428
