,Date,Essential,NonEssential
0,2020-01-01,16438,96942
1,2020-01-02,24834,131245
2,2020-01-03,25396,145906
3,2020-01-04,21265,138054
4,2020-01-05,18726,111967
5,2020-01-06,25765,131856
6,2020-01-07,25657,138868
7,2020-01-08,27144,149752
8,2020-01-09,27136,152860
9,2020-01-10,27484,153851
10,2020-01-11,24166,154999
11,2020-01-12,20151,119732
12,2020-01-13,24501,130288
13,2020-01-14,21886,127054
14,2020-01-15,26319,149687
15,2020-01-16,25236,143212
16,2020-01-17,23512,147231
17,2020-01-18,24365,165099
18,2020-01-19,21173,135497
19,2020-01-20,25188,134623
20,2020-01-21,23972,138511
21,2020-01-22,26204,147482
22,2020-01-23,24867,145666
23,2020-01-24,28150,169248
24,2020-01-25,19579,137044
25,2020-01-26,19647,120909
26,2020-01-27,26196,150550
27,2020-01-28,23210,134922
28,2020-01-29,23270,135923
29,2020-01-30,25067,144772
30,2020-01-31,29594,167889
