,Date,Essential,NonEssential
0,2020-03-01,23190,112324
1,2020-03-02,28540,117075
2,2020-03-03,27418,123315
3,2020-03-04,24018,108776
4,2020-03-05,26586,124303
5,2020-03-06,27371,140177
6,2020-03-07,22959,139367
7,2020-03-08,20547,112616
8,2020-03-09,25378,112619
9,2020-03-10,25506,117146
10,2020-03-11,25643,114861
11,2020-03-12,27774,118150
12,2020-03-13,30230,117512
13,2020-03-14,19967,92897
14,2020-03-15,15924,66255
15,2020-03-16,20565,70723
16,2020-03-17,20205,62783
17,2020-03-18,19103,58803
18,2020-03-19,17833,55792
19,2020-03-20,14511,44500
20,2020-03-21,9824,32494
21,2020-03-22,12228,37915
22,2020-03-23,17860,54232
23,2020-03-24,17164,52104
24,2020-03-25,16844,51083
25,2020-03-26,14143,42275
26,2020-03-27,13906,42458
27,2020-03-28,12228,38110
28,2020-03-29,17730,84765
29,2020-03-30,13609,40142
30,2020-03-31,12123,34774
