,Date,Essential,NonEssential
0,2020-03-01,17861,117653
1,2020-03-02,21100,124515
2,2020-03-03,20104,130629
3,2020-03-04,17535,115259
4,2020-03-05,19604,131285
5,2020-03-06,20357,147191
6,2020-03-07,18101,144225
7,2020-03-08,15771,117392
8,2020-03-09,18766,119231
9,2020-03-10,18790,123862
10,2020-03-11,18967,121537
11,2020-03-12,20798,125126
12,2020-03-13,24248,123494
13,2020-03-14,16240,96624
14,2020-03-15,12818,69361
15,2020-03-16,16260,75028
16,2020-03-17,16170,66818
17,2020-03-18,15160,62746
18,2020-03-19,14235,59390
19,2020-03-20,11593,47418
20,2020-03-21,7946,34372
21,2020-03-22,9961,40182
22,2020-03-23,14192,57900
23,2020-03-24,13564,55704
24,2020-03-25,13268,54659
25,2020-03-26,11172,45246
26,2020-03-27,11034,45330
27,2020-03-28,9971,40367
28,2020-03-29,14119,88376
29,2020-03-30,10794,42957
30,2020-03-31,9706,37191
