,Date,Essential,NonEssential
0,2020-02-01,26714,153207
1,2020-02-02,20616,95369
2,2020-02-03,27341,112807
3,2020-02-04,25931,109135
4,2020-02-05,25841,111125
5,2020-02-06,22641,98298
6,2020-02-07,27521,132634
7,2020-02-08,25262,140717
8,2020-02-09,21354,104356
9,2020-02-10,28380,116753
10,2020-02-11,26205,111762
11,2020-02-12,27568,118942
12,2020-02-13,27302,120480
13,2020-02-14,29264,141991
14,2020-02-15,22600,139210
15,2020-02-16,19114,104779
16,2020-02-17,24815,113991
17,2020-02-18,24363,108782
18,2020-02-19,26191,115531
19,2020-02-20,26422,111594
20,2020-02-21,24694,129013
21,2020-02-22,23368,145262
22,2020-02-23,19788,102140
23,2020-02-24,25908,107653
24,2020-02-25,21678,91535
25,2020-02-26,29043,127033
26,2020-02-27,29230,129528
27,2020-02-28,28162,134502
28,2020-02-29,18685,107719
