,Date,Essential,NonEssential
0,2020-02-01,21712,158209
1,2020-02-02,17126,98859
2,2020-02-03,21764,118384
3,2020-02-04,20734,114332
4,2020-02-05,20932,116034
5,2020-02-06,18217,102722
6,2020-02-07,22801,137354
7,2020-02-08,20790,145189
8,2020-02-09,17489,108221
9,2020-02-10,22806,122327
10,2020-02-11,21103,116864
11,2020-02-12,21930,124580
12,2020-02-13,21668,126114
13,2020-02-14,23250,148005
14,2020-02-15,18304,143506
15,2020-02-16,15565,108328
16,2020-02-17,20176,118630
17,2020-02-18,19544,113601
18,2020-02-19,20813,120909
19,2020-02-20,21618,116398
20,2020-02-21,20429,133278
21,2020-02-22,18943,149687
22,2020-02-23,15941,105987
23,2020-02-24,20517,113044
24,2020-02-25,17114,96099
25,2020-02-26,22801,133275
26,2020-02-27,23213,135545
27,2020-02-28,22262,140402
28,2020-02-29,15520,110884
