,Date,Essential,NonEssential
0,2020-01-01,17849,88435
1,2020-01-02,28294,113012
2,2020-01-03,29263,121449
3,2020-01-04,24932,126807
4,2020-01-05,22269,100405
5,2020-01-06,30770,118257
6,2020-01-07,31224,118248
7,2020-01-08,33753,131026
8,2020-01-09,33095,132039
9,2020-01-10,33439,144089
10,2020-01-11,27112,134266
11,2020-01-12,23015,105433
12,2020-01-13,29792,113740
13,2020-01-14,27227,108436
14,2020-01-15,32456,130212
15,2020-01-16,31957,130421
16,2020-01-17,30212,137446
17,2020-01-18,26346,153780
18,2020-01-19,22890,123801
19,2020-01-20,28548,113354
20,2020-01-21,28518,112986
21,2020-01-22,31837,126471
22,2020-01-23,28320,117104
23,2020-01-24,30809,129767
24,2020-01-25,22604,118151
25,2020-01-26,20537,96975
26,2020-01-27,31076,121446
27,2020-01-28,27141,111099
28,2020-01-29,27686,112306
29,2020-01-30,28465,122194
30,2020-01-31,32690,142047
