,Date,Essential,NonEssential
0,2020-01-01,13990,92294
1,2020-01-02,22984,118322
2,2020-01-03,23473,127239
3,2020-01-04,19641,132098
4,2020-01-05,17650,105024
5,2020-01-06,24062,124965
6,2020-01-07,24411,125061
7,2020-01-08,26617,138162
8,2020-01-09,25951,139183
9,2020-01-10,26115,151413
10,2020-01-11,21092,140286
11,2020-01-12,18249,110199
12,2020-01-13,23546,119986
13,2020-01-14,21138,114525
14,2020-01-15,25621,137047
15,2020-01-16,25163,137215
16,2020-01-17,23340,144318
17,2020-01-18,20808,159318
18,2020-01-19,18081,128610
19,2020-01-20,23612,118290
20,2020-01-21,22211,119293
21,2020-01-22,25072,133236
22,2020-01-23,22171,123253
23,2020-01-24,24584,135992
24,2020-01-25,17923,122832
25,2020-01-26,16387,101125
26,2020-01-27,24579,127943
27,2020-01-28,21311,116929
28,2020-01-29,21661,118331
29,2020-01-30,22417,128242
30,2020-01-31,25488,149249
