,Date,Essential,NonEssential
0,2020-03-01,20224,101468
1,2020-03-02,26169,105296
2,2020-03-03,25359,102543
3,2020-03-04,24123,99029
4,2020-03-05,24545,106557
5,2020-03-06,25496,124451
6,2020-03-07,21556,132026
7,2020-03-08,18174,96089
8,2020-03-09,24825,101075
9,2020-03-10,24122,97884
10,2020-03-11,24594,100028
11,2020-03-12,27296,103268
12,2020-03-13,29705,113695
13,2020-03-14,20168,95809
14,2020-03-15,16184,66999
15,2020-03-16,22249,67104
16,2020-03-17,21079,60448
17,2020-03-18,19385,56284
18,2020-03-19,18671,54897
19,2020-03-20,16085,47747
20,2020-03-21,10413,33939
21,2020-03-22,12474,35402
22,2020-03-23,16718,44497
23,2020-03-24,17242,45113
24,2020-03-25,22107,58020
25,2020-03-26,12964,34209
26,2020-03-27,13652,36703
27,2020-03-28,11875,33659
28,2020-03-29,15395,60942
29,2020-03-30,14216,37483
30,2020-03-31,12222,30051
