,Date,Essential,NonEssential
0,2020-03-01,16489,105203
1,2020-03-02,20807,110658
2,2020-03-03,19297,108605
3,2020-03-04,18920,104232
4,2020-03-05,19268,111834
5,2020-03-06,20024,129923
6,2020-03-07,17521,136061
7,2020-03-08,14635,99628
8,2020-03-09,19514,106386
9,2020-03-10,19038,102968
10,2020-03-11,19166,105456
11,2020-03-12,21746,108818
12,2020-03-13,23704,119696
13,2020-03-14,16848,99129
14,2020-03-15,13616,69567
15,2020-03-16,18303,71050
16,2020-03-17,17319,64208
17,2020-03-18,16053,59616
18,2020-03-19,15345,58223
19,2020-03-20,13278,50554
20,2020-03-21,8609,35743
21,2020-03-22,10454,37422
22,2020-03-23,13873,47342
23,2020-03-24,14292,48063
24,2020-03-25,18413,61714
25,2020-03-26,10800,36373
26,2020-03-27,11296,39059
27,2020-03-28,10034,35500
28,2020-03-29,12615,63722
29,2020-03-30,11655,40044
30,2020-03-31,10222,32051
