,Date,Essential,NonEssential
0,2020-02-01,50862,247374
1,2020-02-02,40424,190573
2,2020-02-03,46610,210245
3,2020-02-04,44431,204774
4,2020-02-05,42843,201251
5,2020-02-06,42071,202126
6,2020-02-07,47774,235039
7,2020-02-08,45985,238287
8,2020-02-09,35692,173839
9,2020-02-10,47972,216803
10,2020-02-11,45366,212601
11,2020-02-12,46913,220138
12,2020-02-13,45269,215875
13,2020-02-14,48018,244965
14,2020-02-15,41692,234294
15,2020-02-16,36654,205604
16,2020-02-17,38819,187187
17,2020-02-18,41375,199446
18,2020-02-19,42831,212181
19,2020-02-20,46034,227932
20,2020-02-21,45017,236612
21,2020-02-22,42905,236070
22,2020-02-23,38523,193177
23,2020-02-24,46542,212434
24,2020-02-25,40921,192521
25,2020-02-26,50628,239760
26,2020-02-27,49728,241473
27,2020-02-28,47561,242686
28,2020-02-29,31530,156068
