,Date,Essential,NonEssential
0,2020-02-01,40607,257629
1,2020-02-02,32700,198297
2,2020-02-03,36239,220616
3,2020-02-04,34449,214756
4,2020-02-05,33405,210689
5,2020-02-06,32761,211436
6,2020-02-07,37891,244922
7,2020-02-08,36796,247476
8,2020-02-09,28820,180711
9,2020-02-10,37249,227526
10,2020-02-11,35196,222771
11,2020-02-12,36612,230439
12,2020-02-13,34947,226197
13,2020-02-14,36969,256014
14,2020-02-15,33126,242860
15,2020-02-16,29456,212802
16,2020-02-17,31211,194795
17,2020-02-18,32027,208794
18,2020-02-19,33191,221821
19,2020-02-20,35818,238148
20,2020-02-21,35145,246484
21,2020-02-22,33951,245024
22,2020-02-23,30926,200774
23,2020-02-24,36249,222727
24,2020-02-25,31583,201859
25,2020-02-26,39277,251111
26,2020-02-27,39027,252174
27,2020-02-28,37273,252974
28,2020-02-29,25213,162385
