,Date,Essential,NonEssential
0,2020-01-01,36922,189768
1,2020-01-02,51680,241686
2,2020-01-03,53178,256876
3,2020-01-04,46323,233060
4,2020-01-05,42496,195502
5,2020-01-06,54198,242666
6,2020-01-07,56997,257259
7,2020-01-08,58687,265398
8,2020-01-09,59313,275370
9,2020-01-10,62075,289013
10,2020-01-11,49389,232955
11,2020-01-12,43562,206318
12,2020-01-13,53650,239812
13,2020-01-14,51389,236594
14,2020-01-15,58442,269148
15,2020-01-16,56257,262080
16,2020-01-17,52693,252006
17,2020-01-18,48609,252034
18,2020-01-19,42149,216944
19,2020-01-20,47564,205901
20,2020-01-21,52242,235392
21,2020-01-22,57100,261447
22,2020-01-23,50787,237623
23,2020-01-24,57517,271260
24,2020-01-25,41827,210376
25,2020-01-26,40375,186587
26,2020-01-27,56375,250502
27,2020-01-28,49010,224043
28,2020-01-29,49257,227189
29,2020-01-30,52751,247131
30,2020-01-31,59685,283037
