,Date,Essential,NonEssential
0,2020-01-01,29606,197084
1,2020-01-02,40584,252782
2,2020-01-03,41555,268499
3,2020-01-04,36807,242576
4,2020-01-05,33849,204149
5,2020-01-06,42105,254759
6,2020-01-07,44318,269938
7,2020-01-08,45788,278297
8,2020-01-09,46158,288525
9,2020-01-10,48795,302293
10,2020-01-11,39662,242682
11,2020-01-12,34869,215011
12,2020-01-13,41357,252105
13,2020-01-14,39615,248368
14,2020-01-15,44980,282610
15,2020-01-16,43378,274959
16,2020-01-17,41052,263647
17,2020-01-18,38855,261788
18,2020-01-19,33938,225155
19,2020-01-20,38098,215367
20,2020-01-21,40286,247348
21,2020-01-22,44216,274331
22,2020-01-23,39112,249298
23,2020-01-24,44477,284300
24,2020-01-25,33432,218771
25,2020-01-26,32511,194451
26,2020-01-27,43376,263501
27,2020-01-28,37429,235624
28,2020-01-29,37902,238544
29,2020-01-30,40630,259252
30,2020-01-31,46312,296410
