,Date,Essential,NonEssential
0,2020-03-01,41022,206651
1,2020-03-02,45453,206934
2,2020-03-03,46197,232230
3,2020-03-04,42549,208713
4,2020-03-05,45121,243837
5,2020-03-06,46202,250590
6,2020-03-07,43545,267448
7,2020-03-08,39077,231671
8,2020-03-09,42111,216410
9,2020-03-10,42049,205210
10,2020-03-11,42173,202867
11,2020-03-12,43787,207320
12,2020-03-13,53203,226087
13,2020-03-14,39991,176244
14,2020-03-15,37087,150101
15,2020-03-16,38342,141990
16,2020-03-17,34944,131347
17,2020-03-18,31374,109894
18,2020-03-19,33166,111977
19,2020-03-20,29586,101023
20,2020-03-21,21107,75959
21,2020-03-22,19967,72936
22,2020-03-23,27591,93644
23,2020-03-24,27488,98110
24,2020-03-25,34904,124317
25,2020-03-26,26461,89375
26,2020-03-27,26353,88757
27,2020-03-28,24089,80804
28,2020-03-29,33651,155669
29,2020-03-30,27322,92940
30,2020-03-31,20305,62581
