,Date,Essential,NonEssential
0,2020-03-01,32796,214877
1,2020-03-02,35475,216912
2,2020-03-03,34641,243786
3,2020-03-04,33615,217647
4,2020-03-05,33632,255326
5,2020-03-06,36476,260316
6,2020-03-07,34873,276120
7,2020-03-08,31453,239295
8,2020-03-09,33216,225305
9,2020-03-10,32563,214696
10,2020-03-11,32606,212434
11,2020-03-12,34337,216770
12,2020-03-13,42386,236904
13,2020-03-14,32219,184016
14,2020-03-15,29886,157302
15,2020-03-16,30280,150052
16,2020-03-17,27783,138508
17,2020-03-18,25039,116229
18,2020-03-19,26450,118693
19,2020-03-20,23712,106897
20,2020-03-21,16905,80161
21,2020-03-22,16022,76881
22,2020-03-23,22001,99234
23,2020-03-24,21609,103989
24,2020-03-25,27117,132104
25,2020-03-26,20574,95262
26,2020-03-27,20526,94584
27,2020-03-28,18955,85938
28,2020-03-29,26306,163014
29,2020-03-30,21233,99029
30,2020-03-31,15737,67149
