,Date,Essential,NonEssential
0,2020-02-01,46540,262594
1,2020-02-02,36742,189885
2,2020-02-03,42827,211464
3,2020-02-04,36679,188254
4,2020-02-05,33115,171521
5,2020-02-06,36081,181478
6,2020-02-07,38665,207526
7,2020-02-08,36114,220617
8,2020-02-09,29431,161894
9,2020-02-10,38432,182883
10,2020-02-11,35923,178893
11,2020-02-12,37583,187544
12,2020-02-13,38913,197680
13,2020-02-14,40093,225760
14,2020-02-15,32419,213594
15,2020-02-16,28779,185200
16,2020-02-17,34344,186476
17,2020-02-18,33144,169453
18,2020-02-19,35037,177424
19,2020-02-20,38335,197553
20,2020-02-21,37770,216703
21,2020-02-22,33018,217723
22,2020-02-23,28562,164301
23,2020-02-24,38244,185391
24,2020-02-25,32240,151482
25,2020-02-26,43404,203009
26,2020-02-27,44029,213646
27,2020-02-28,43523,251114
28,2020-02-29,30872,182716
