,Date,Essential,NonEssential
0,2020-02-01,38859,270275
1,2020-02-02,30713,195914
2,2020-02-03,34992,219299
3,2020-02-04,29343,195590
4,2020-02-05,26408,178228
5,2020-02-06,29101,188458
6,2020-02-07,31139,215052
7,2020-02-08,29632,227099
8,2020-02-09,23629,167696
9,2020-02-10,30969,190346
10,2020-02-11,28734,186082
11,2020-02-12,30127,195000
12,2020-02-13,30599,205994
13,2020-02-14,32336,233517
14,2020-02-15,26481,219532
15,2020-02-16,23302,190677
16,2020-02-17,28499,192321
17,2020-02-18,26682,175915
18,2020-02-19,27946,184515
19,2020-02-20,31341,204547
20,2020-02-21,30938,223535
21,2020-02-22,27373,223368
22,2020-02-23,23281,169582
23,2020-02-24,31217,192418
24,2020-02-25,26319,157403
25,2020-02-26,35448,210965
26,2020-02-27,36611,221064
27,2020-02-28,35620,259017
28,2020-02-29,26134,187454
