,Date,Essential,NonEssential
0,2020-01-01,28812,144231
1,2020-01-02,46456,200511
2,2020-01-03,48796,218739
3,2020-01-04,40162,204105
4,2020-01-05,36193,173210
5,2020-01-06,48685,204400
6,2020-01-07,50474,211925
7,2020-01-08,51974,224643
8,2020-01-09,53243,232417
9,2020-01-10,51136,230045
10,2020-01-11,43541,215394
11,2020-01-12,39042,183553
12,2020-01-13,49186,205169
13,2020-01-14,45649,194720
14,2020-01-15,51992,224732
15,2020-01-16,47274,208914
16,2020-01-17,46088,217921
17,2020-01-18,44224,225227
18,2020-01-19,37845,186793
19,2020-01-20,44482,192680
20,2020-01-21,44994,198034
21,2020-01-22,47215,210691
22,2020-01-23,46205,212517
23,2020-01-24,51835,245473
24,2020-01-25,37499,199891
25,2020-01-26,35118,172394
26,2020-01-27,49537,215337
27,2020-01-28,42384,191858
28,2020-01-29,43197,194679
29,2020-01-30,46394,217491
30,2020-01-31,55621,263054
