,Date,Essential,NonEssential
0,2020-01-01,23987,149056
1,2020-01-02,38463,208504
2,2020-01-03,40455,227080
3,2020-01-04,33694,210573
4,2020-01-05,29694,179709
5,2020-01-06,39925,213160
6,2020-01-07,41058,221341
7,2020-01-08,42197,234420
8,2020-01-09,43415,242245
9,2020-01-10,41947,239234
10,2020-01-11,36576,222359
11,2020-01-12,32142,190453
12,2020-01-13,40140,214215
13,2020-01-14,36901,203468
14,2020-01-15,42122,234602
15,2020-01-16,38371,217817
16,2020-01-17,37518,226491
17,2020-01-18,37069,232382
18,2020-01-19,31014,193624
19,2020-01-20,37238,199924
20,2020-01-21,36234,206794
21,2020-01-22,38018,219888
22,2020-01-23,37096,221626
23,2020-01-24,42307,255001
24,2020-01-25,31148,206242
25,2020-01-26,28559,178953
26,2020-01-27,40096,224778
27,2020-01-28,34192,200050
28,2020-01-29,34938,202938
29,2020-01-30,37094,226791
30,2020-01-31,44424,274251
