,Date,Essential,NonEssential
0,2020-03-01,36000,212130
1,2020-03-02,37881,183062
2,2020-03-03,37880,194034
3,2020-03-04,33400,178334
4,2020-03-05,36852,219396
5,2020-03-06,37600,219603
6,2020-03-07,32052,207608
7,2020-03-08,27271,176125
8,2020-03-09,36224,190395
9,2020-03-10,35123,182922
10,2020-03-11,35055,182764
11,2020-03-12,38110,191096
12,2020-03-13,41633,184987
13,2020-03-14,28455,148414
14,2020-03-15,23696,114311
15,2020-03-16,32407,131856
16,2020-03-17,29939,112109
17,2020-03-18,28580,111161
18,2020-03-19,28150,106626
19,2020-03-20,24406,93749
20,2020-03-21,17039,70710
21,2020-03-22,20523,77322
22,2020-03-23,28992,100922
23,2020-03-24,22202,86960
24,2020-03-25,26824,96496
25,2020-03-26,23467,81936
26,2020-03-27,22814,80345
27,2020-03-28,20042,73815
28,2020-03-29,27852,147233
29,2020-03-30,21699,77603
30,2020-03-31,19157,60639
