,Date,Essential,NonEssential
0,2020-03-01,30411,217719
1,2020-03-02,31059,189884
2,2020-03-03,30168,201746
3,2020-03-04,26758,184976
4,2020-03-05,29793,226455
5,2020-03-06,30347,226856
6,2020-03-07,26166,213494
7,2020-03-08,22215,181181
8,2020-03-09,29609,197010
9,2020-03-10,28816,189229
10,2020-03-11,28944,188875
11,2020-03-12,31816,197390
12,2020-03-13,35167,191453
13,2020-03-14,24131,152738
14,2020-03-15,20267,117740
15,2020-03-16,27478,136785
16,2020-03-17,25414,116634
17,2020-03-18,23705,116036
18,2020-03-19,22904,111872
19,2020-03-20,19951,98204
20,2020-03-21,13741,74008
21,2020-03-22,16918,80927
22,2020-03-23,23848,106066
23,2020-03-24,17913,91249
24,2020-03-25,22157,101163
25,2020-03-26,19284,86119
26,2020-03-27,18924,84235
27,2020-03-28,16701,77156
28,2020-03-29,23218,151867
29,2020-03-30,18227,81075
30,2020-03-31,16366,63430
