,Date,Essential,NonEssential
0,2020-02-01,12330,57278
1,2020-02-02,9883,44329
2,2020-02-03,14227,57737
3,2020-02-04,13001,51398
4,2020-02-05,12092,51232
5,2020-02-06,10851,49798
6,2020-02-07,11915,57360
7,2020-02-08,10349,54158
8,2020-02-09,8622,44626
9,2020-02-10,11903,52782
10,2020-02-11,11582,50902
11,2020-02-12,11950,53266
12,2020-02-13,11090,51734
13,2020-02-14,12601,59897
14,2020-02-15,10837,58279
15,2020-02-16,9702,47477
16,2020-02-17,10467,47902
17,2020-02-18,10671,49484
18,2020-02-19,11493,50821
19,2020-02-20,12260,57660
20,2020-02-21,12666,60283
21,2020-02-22,11634,73140
22,2020-02-23,9571,48780
23,2020-02-24,11894,49966
24,2020-02-25,12061,44893
25,2020-02-26,13215,51331
26,2020-02-27,12204,53962
27,2020-02-28,13180,57722
28,2020-02-29,8817,38983
