,Date,Essential,NonEssential
0,2020-02-01,11241,58367
1,2020-02-02,8940,45272
2,2020-02-03,12330,59634
3,2020-02-04,11275,53124
4,2020-02-05,10354,52970
5,2020-02-06,9440,51209
6,2020-02-07,10313,58962
7,2020-02-08,9235,55272
8,2020-02-09,7650,45598
9,2020-02-10,10113,54572
10,2020-02-11,9878,52606
11,2020-02-12,10381,54835
12,2020-02-13,9580,53244
13,2020-02-14,11067,61431
14,2020-02-15,9857,59259
15,2020-02-16,8862,48317
16,2020-02-17,9359,49010
17,2020-02-18,9468,50687
18,2020-02-19,10191,52123
19,2020-02-20,10820,59100
20,2020-02-21,11328,61621
21,2020-02-22,10662,74112
22,2020-02-23,8642,49709
23,2020-02-24,10267,51593
24,2020-02-25,10575,46379
25,2020-02-26,11756,52790
26,2020-02-27,10839,55327
27,2020-02-28,11551,59351
28,2020-02-29,7924,39876
