,Date,Essential,NonEssential
0,2020-01-01,8075,37891
1,2020-01-02,12205,47091
2,2020-01-03,13752,52393
3,2020-01-04,10747,47854
4,2020-01-05,9116,41380
5,2020-01-06,13477,52246
6,2020-01-07,13994,53667
7,2020-01-08,14223,54081
8,2020-01-09,15392,57138
9,2020-01-10,15240,59278
10,2020-01-11,10812,44609
11,2020-01-12,9262,39593
12,2020-01-13,13653,49965
13,2020-01-14,12200,45980
14,2020-01-15,15227,55822
15,2020-01-16,14181,54952
16,2020-01-17,13138,54776
17,2020-01-18,9209,41323
18,2020-01-19,9494,41087
19,2020-01-20,11174,41543
20,2020-01-21,12227,46666
21,2020-01-22,14357,53403
22,2020-01-23,12432,49674
23,2020-01-24,14574,55733
24,2020-01-25,9559,42689
25,2020-01-26,8921,39077
26,2020-01-27,14146,51921
27,2020-01-28,11575,43880
28,2020-01-29,11815,46250
29,2020-01-30,12997,50546
30,2020-01-31,16870,63418
