,Date,Essential,NonEssential
0,2020-01-01,7293,38673
1,2020-01-02,10668,48628
2,2020-01-03,11921,54224
3,2020-01-04,9729,48872
4,2020-01-05,8147,42349
5,2020-01-06,11410,54313
6,2020-01-07,12004,55657
7,2020-01-08,12211,56093
8,2020-01-09,13068,59462
9,2020-01-10,13034,61484
10,2020-01-11,9815,45606
11,2020-01-12,8398,40457
12,2020-01-13,11578,52040
13,2020-01-14,10363,47817
14,2020-01-15,13046,58003
15,2020-01-16,12100,57033
16,2020-01-17,11411,56503
17,2020-01-18,8232,42300
18,2020-01-19,8492,42089
19,2020-01-20,9772,42945
20,2020-01-21,10325,48568
21,2020-01-22,12199,55561
22,2020-01-23,10638,51468
23,2020-01-24,12464,57843
24,2020-01-25,8557,43691
25,2020-01-26,8053,39945
26,2020-01-27,11942,54125
27,2020-01-28,9859,45596
28,2020-01-29,9934,48131
29,2020-01-30,11229,52314
30,2020-01-31,14642,65646
