,Date,Essential,NonEssential
0,2020-03-01,9348,41972
1,2020-03-02,11759,46643
2,2020-03-03,11204,56373
3,2020-03-04,9889,61971
4,2020-03-05,10745,66009
5,2020-03-06,10755,65239
6,2020-03-07,9353,60124
7,2020-03-08,8162,52782
8,2020-03-09,10392,46445
9,2020-03-10,10208,41710
10,2020-03-11,10185,39294
11,2020-03-12,10759,39350
12,2020-03-13,12740,41343
13,2020-03-14,8570,31126
14,2020-03-15,7754,29882
15,2020-03-16,9456,28379
16,2020-03-17,9064,26670
17,2020-03-18,8492,24055
18,2020-03-19,8733,23053
19,2020-03-20,7887,21493
20,2020-03-21,5722,16257
21,2020-03-22,5787,16744
22,2020-03-23,9029,20329
23,2020-03-24,6295,15982
24,2020-03-25,8303,21305
25,2020-03-26,6346,15678
26,2020-03-27,6545,15708
27,2020-03-28,5565,12935
28,2020-03-29,8078,28797
29,2020-03-30,6504,15937
30,2020-03-31,4894,11214
