,Date,Essential,NonEssential
0,2020-03-01,7932,43388
1,2020-03-02,9892,48510
2,2020-03-03,9411,58166
3,2020-03-04,8340,63520
4,2020-03-05,9155,67599
5,2020-03-06,9169,66825
6,2020-03-07,8389,61088
7,2020-03-08,7264,53680
8,2020-03-09,8947,47890
9,2020-03-10,8725,43193
10,2020-03-11,8734,40745
11,2020-03-12,9236,40873
12,2020-03-13,11257,42826
13,2020-03-14,7807,31889
14,2020-03-15,6921,30715
15,2020-03-16,8266,29569
16,2020-03-17,7965,27769
17,2020-03-18,7456,25091
18,2020-03-19,7727,24059
19,2020-03-20,7048,22332
20,2020-03-21,5180,16799
21,2020-03-22,5327,17204
22,2020-03-23,7872,21486
23,2020-03-24,5479,16798
24,2020-03-25,7224,22384
25,2020-03-26,5564,16460
26,2020-03-27,5733,16520
27,2020-03-28,4898,13602
28,2020-03-29,6842,30033
29,2020-03-30,5788,16653
30,2020-03-31,4265,11843
