,Date,Essential,NonEssential
0,2020-02-01,32569,138046
1,2020-02-02,26350,85237
2,2020-02-03,30143,89917
3,2020-02-04,27279,84824
4,2020-02-05,22618,74731
5,2020-02-06,25903,89760
6,2020-02-07,29351,112541
7,2020-02-08,28768,135006
8,2020-02-09,23975,90801
9,2020-02-10,27838,80984
10,2020-02-11,25729,78822
11,2020-02-12,27002,83946
12,2020-02-13,28280,90390
13,2020-02-14,30388,113623
14,2020-02-15,25773,118617
15,2020-02-16,23318,90889
16,2020-02-17,25557,81545
17,2020-02-18,25017,76909
18,2020-02-19,25254,80721
19,2020-02-20,28381,95492
20,2020-02-21,29113,109846
21,2020-02-22,25644,114661
22,2020-02-23,23300,84192
23,2020-02-24,28785,86177
24,2020-02-25,21840,67012
25,2020-02-26,30291,97121
26,2020-02-27,30186,99572
27,2020-02-28,30685,115635
28,2020-02-29,21109,89925
