,Date,Essential,NonEssential
0,2020-01-01,20216,68240
1,2020-01-02,33288,98171
2,2020-01-03,35532,113158
3,2020-01-04,30238,117001
4,2020-01-05,26869,87518
5,2020-01-06,33983,93415
6,2020-01-07,35024,99338
7,2020-01-08,35606,101299
8,2020-01-09,36167,106064
9,2020-01-10,35474,108576
10,2020-01-11,32133,117204
11,2020-01-12,28952,92637
12,2020-01-13,35377,97412
13,2020-01-14,32436,95987
14,2020-01-15,37143,112722
15,2020-01-16,33679,106864
16,2020-01-17,34217,124696
17,2020-01-18,34201,146115
18,2020-01-19,28579,103551
19,2020-01-20,32346,100107
20,2020-01-21,32027,95988
21,2020-01-22,33848,100486
22,2020-01-23,32818,105026
23,2020-01-24,38418,135810
24,2020-01-25,28540,128025
25,2020-01-26,27152,100855
26,2020-01-27,36102,101928
27,2020-01-28,30732,91210
28,2020-01-29,31374,95187
29,2020-01-30,33016,101995
30,2020-01-31,38554,124462
