,Date,Essential,NonEssential
0,2020-01-01,17747,70709
1,2020-01-02,28032,103427
2,2020-01-03,29768,118922
3,2020-01-04,25988,121251
4,2020-01-05,23001,91386
5,2020-01-06,28227,99171
6,2020-01-07,28487,105875
7,2020-01-08,28734,108171
8,2020-01-09,29175,113056
9,2020-01-10,28500,115550
10,2020-01-11,27473,121864
11,2020-01-12,24522,97067
12,2020-01-13,28360,104429
13,2020-01-14,25783,102640
14,2020-01-15,29739,120126
15,2020-01-16,26961,113582
16,2020-01-17,27500,131413
17,2020-01-18,28806,151510
18,2020-01-19,24072,108058
19,2020-01-20,27572,104881
20,2020-01-21,25710,102305
21,2020-01-22,27013,107321
22,2020-01-23,26213,111631
23,2020-01-24,30634,143594
24,2020-01-25,23855,132710
25,2020-01-26,22980,105027
26,2020-01-27,28754,109276
27,2020-01-28,24377,97565
28,2020-01-29,24971,101590
29,2020-01-30,26628,108383
30,2020-01-31,30974,132042
