,Date,Essential,NonEssential
0,2020-03-01,24397,91199
1,2020-03-02,28517,85762
2,2020-03-03,28201,86378
3,2020-03-04,24969,80186
4,2020-03-05,28253,94146
5,2020-03-06,29686,107707
6,2020-03-07,25429,105798
7,2020-03-08,22150,77752
8,2020-03-09,25556,73897
9,2020-03-10,24527,75978
10,2020-03-11,25324,76942
11,2020-03-12,27550,78195
12,2020-03-13,32709,85356
13,2020-03-14,22698,73047
14,2020-03-15,18652,53441
15,2020-03-16,24841,56994
16,2020-03-17,24223,52167
17,2020-03-18,23065,48639
18,2020-03-19,23177,45395
19,2020-03-20,20173,39719
20,2020-03-21,14581,28538
21,2020-03-22,17281,30176
22,2020-03-23,22207,39603
23,2020-03-24,22476,40728
24,2020-03-25,20754,39417
25,2020-03-26,17926,35066
26,2020-03-27,17930,36854
27,2020-03-28,16222,34675
28,2020-03-29,21079,64966
29,2020-03-30,17211,32610
30,2020-03-31,14468,28838
