,Date,Essential,NonEssential
0,2020-03-01,20595,95001
1,2020-03-02,22881,91398
2,2020-03-03,22572,92007
3,2020-03-04,20011,85144
4,2020-03-05,22946,99453
5,2020-03-06,24226,113167
6,2020-03-07,21901,109326
7,2020-03-08,19001,80901
8,2020-03-09,21592,77861
9,2020-03-10,20753,79752
10,2020-03-11,21434,80832
11,2020-03-12,23728,82017
12,2020-03-13,28402,89663
13,2020-03-14,19861,75884
14,2020-03-15,16466,55627
15,2020-03-16,21452,60383
16,2020-03-17,20832,55558
17,2020-03-18,19938,51766
18,2020-03-19,19982,48590
19,2020-03-20,17552,42340
20,2020-03-21,13022,30097
21,2020-03-22,15467,31990
22,2020-03-23,19180,42630
23,2020-03-24,19461,43743
24,2020-03-25,17797,42374
25,2020-03-26,15430,37562
26,2020-03-27,15332,39452
27,2020-03-28,14248,36649
28,2020-03-29,18388,67657
29,2020-03-30,14774,35047
30,2020-03-31,12365,30941
