,Date,Essential,NonEssential
0,2020-02-01,105878,411486
1,2020-02-02,83947,281449
2,2020-02-03,102700,321361
3,2020-02-04,91315,304417
4,2020-02-05,87584,291131
5,2020-02-06,89059,303899
6,2020-02-07,98651,350048
7,2020-02-08,91972,381194
8,2020-02-09,77403,280936
9,2020-02-10,98535,313032
10,2020-02-11,90538,296892
11,2020-02-12,93574,307172
12,2020-02-13,95292,318337
13,2020-02-14,102475,368243
14,2020-02-15,83493,353637
15,2020-02-16,73025,285523
16,2020-02-17,84505,286676
17,2020-02-18,85553,286673
18,2020-02-19,88487,300280
19,2020-02-20,93096,319626
20,2020-02-21,94522,348957
21,2020-02-22,83931,356862
22,2020-02-23,74121,277680
23,2020-02-24,94250,303663
24,2020-02-25,78743,266185
25,2020-02-26,105452,359370
26,2020-02-27,103504,353424
27,2020-02-28,98036,352794
28,2020-02-29,63990,258206
