,Date,Essential,NonEssential
0,2020-02-01,86065,431299
1,2020-02-02,67441,297955
2,2020-02-03,81403,342658
3,2020-02-04,72115,323617
4,2020-02-05,68860,309855
5,2020-02-06,70532,322426
6,2020-02-07,78353,370346
7,2020-02-08,75023,398143
8,2020-02-09,61105,297234
9,2020-02-10,78243,333324
10,2020-02-11,71658,315772
11,2020-02-12,73793,326953
12,2020-02-13,75036,338593
13,2020-02-14,80289,390429
14,2020-02-15,67413,369717
15,2020-02-16,57258,301290
16,2020-02-17,68506,302675
17,2020-02-18,66986,305240
18,2020-02-19,69073,319694
19,2020-02-20,73141,339581
20,2020-02-21,74165,369314
21,2020-02-22,68116,372677
22,2020-02-23,58452,293349
23,2020-02-24,74427,323486
24,2020-02-25,62956,281972
25,2020-02-26,82308,382514
26,2020-02-27,82042,374886
27,2020-02-28,78328,372502
28,2020-02-29,51220,270976
