,Date,Essential,NonEssential
0,2020-01-01,62673,224117
1,2020-01-02,103656,324137
2,2020-01-03,113238,378389
3,2020-01-04,94004,359244
4,2020-01-05,86101,305065
5,2020-01-06,114621,344633
6,2020-01-07,119665,361359
7,2020-01-08,122657,372912
8,2020-01-09,123345,379399
9,2020-01-10,126357,397160
10,2020-01-11,102601,392509
11,2020-01-12,89704,308855
12,2020-01-13,114453,342988
13,2020-01-14,106369,331435
14,2020-01-15,125135,389644
15,2020-01-16,119940,381756
16,2020-01-17,113260,387689
17,2020-01-18,104033,401651
18,2020-01-19,93663,342620
19,2020-01-20,104492,330012
20,2020-01-21,106881,338205
21,2020-01-22,112963,352451
22,2020-01-23,109069,357300
23,2020-01-24,123202,412423
24,2020-01-25,90432,348753
25,2020-01-26,84914,304310
26,2020-01-27,117991,360098
27,2020-01-28,100648,316129
28,2020-01-29,104241,329897
29,2020-01-30,108585,358750
30,2020-01-31,127711,409258
