,Date,Essential,NonEssential
0,1/1/2020,51842,234948
1,1/2/2020,84959,342834
2,1/3/2020,92765,398862
3,1/4/2020,77777,375471
4,1/5/2020,69260,321906
5,1/6/2020,91788,367466
6,1/7/2020,95160,385864
7,1/8/2020,96978,398591
8,1/9/2020,97892,404852
9,1/10/2020,100705,422812
10,1/11/2020,84167,410943
11,1/12/2020,71860,326699
12,1/13/2020,90876,366565
13,1/14/2020,83565,354239
14,1/15/2020,98573,416206
15,1/16/2020,94622,407074
16,1/17/2020,89367,411582
17,1/18/2020,84717,420967
18,1/19/2020,75594,360689
19,1/20/2020,87121,347383
20,1/21/2020,83696,361390
21,1/22/2020,89056,376358
22,1/23/2020,86201,380168
23,1/24/2020,98164,437461
24,1/25/2020,73147,366038
25,1/26/2020,68275,320949
26,1/27/2020,93544,384545
27,1/28/2020,79425,337352
28,1/29/2020,81689,352449
29,1/30/2020,85796,381539
30,1/31/2020,100998,435971
