,Date,Essential,NonEssential
0,2020-03-01,76197,287105
1,2020-03-02,91479,307405
2,2020-03-03,89021,319863
3,2020-03-04,81196,297897
4,2020-03-05,88624,325824
5,2020-03-06,91744,354216
6,2020-03-07,80306,350716
7,2020-03-08,68278,279031
8,2020-03-09,82223,293790
9,2020-03-10,80430,294133
10,2020-03-11,83218,289169
11,2020-03-12,91535,284378
12,2020-03-13,96761,291443
13,2020-03-14,67811,242286
14,2020-03-15,56816,194340
15,2020-03-16,73242,206213
16,2020-03-17,70908,182638
17,2020-03-18,68588,175720
18,2020-03-19,69702,176789
19,2020-03-20,59737,147699
20,2020-03-21,39820,105918
21,2020-03-22,47988,118467
22,2020-03-23,66615,165022
23,2020-03-24,68346,169124
24,2020-03-25,59497,142717
25,2020-03-26,50702,121140
26,2020-03-27,51996,126291
27,2020-03-28,45841,111178
28,2020-03-29,63862,213990
29,2020-03-30,52804,127620
30,2020-03-31,43315,104613
