,Date,Essential,NonEssential
0,2020-03-01,60261,303041
1,2020-03-02,71718,327166
2,2020-03-03,69259,339625
3,2020-03-04,63127,315966
4,2020-03-05,69785,344663
5,2020-03-06,72684,373276
6,2020-03-07,65781,365241
7,2020-03-08,55041,292268
8,2020-03-09,66132,309881
9,2020-03-10,64971,309592
10,2020-03-11,67539,304848
11,2020-03-12,75044,300869
12,2020-03-13,80416,307788
13,2020-03-14,56718,253379
14,2020-03-15,47364,203792
15,2020-03-16,60246,219209
16,2020-03-17,58560,194986
17,2020-03-18,56741,187567
18,2020-03-19,58027,188464
19,2020-03-20,49896,157540
20,2020-03-21,33657,112081
21,2020-03-22,40442,126013
22,2020-03-23,55144,176493
23,2020-03-24,56425,181045
24,2020-03-25,49292,152922
25,2020-03-26,42191,129651
26,2020-03-27,43214,135073
27,2020-03-28,38755,118264
28,2020-03-29,53854,223998
29,2020-03-30,43872,136552
30,2020-03-31,35975,111953
