,Date,Essential,NonEssential
0,2020-02-01,31701,166981
1,2020-02-02,24467,108733
2,2020-02-03,31281,128918
3,2020-02-04,28393,123055
4,2020-02-05,28090,123931
5,2020-02-06,28714,121072
6,2020-02-07,30300,148559
7,2020-02-08,30435,168170
8,2020-02-09,25084,121365
9,2020-02-10,31378,130940
10,2020-02-11,28810,126460
11,2020-02-12,29499,130643
12,2020-02-13,31582,137889
13,2020-02-14,33129,159026
14,2020-02-15,27367,154650
15,2020-02-16,22608,117299
16,2020-02-17,26398,120796
17,2020-02-18,26651,120538
18,2020-02-19,28198,128219
19,2020-02-20,32345,140946
20,2020-02-21,30394,145322
21,2020-02-22,27787,155810
22,2020-02-23,24944,120658
23,2020-02-24,31926,132300
24,2020-02-25,26343,104658
25,2020-02-26,35733,150314
26,2020-02-27,36899,156227
27,2020-02-28,33583,161728
28,2020-02-29,24718,137528
