,Date,Essential,NonEssential
0,2020-02-01,26877,171805
1,2020-02-02,20925,112275
2,2020-02-03,25484,134715
3,2020-02-04,22915,128533
4,2020-02-05,22838,129183
5,2020-02-06,23564,126222
6,2020-02-07,24984,153875
7,2020-02-08,26032,172573
8,2020-02-09,21331,125118
9,2020-02-10,25641,136677
10,2020-02-11,23609,131661
11,2020-02-12,23831,136311
12,2020-02-13,25799,143672
13,2020-02-14,27091,165064
14,2020-02-15,23105,158912
15,2020-02-16,18905,121002
16,2020-02-17,22534,124660
17,2020-02-18,21585,125604
18,2020-02-19,22718,133699
19,2020-02-20,26470,146821
20,2020-02-21,24994,150722
21,2020-02-22,23875,159722
22,2020-02-23,21212,124390
23,2020-02-24,26089,138137
24,2020-02-25,21639,109362
25,2020-02-26,29250,156797
26,2020-02-27,30440,162686
27,2020-02-28,27653,167658
28,2020-02-29,21318,140928
