,Date,Essential,NonEssential
0,2020-01-01,22161,103366
1,2020-01-02,37300,157713
2,2020-01-03,37865,163295
3,2020-01-04,30866,149653
4,2020-01-05,27350,122642
5,2020-01-06,36993,142835
6,2020-01-07,37730,147969
7,2020-01-08,39436,157972
8,2020-01-09,39851,160244
9,2020-01-10,40394,173378
10,2020-01-11,33167,163841
11,2020-01-12,28210,126296
12,2020-01-13,36445,141903
13,2020-01-14,31097,130783
14,2020-01-15,39337,159008
15,2020-01-16,38127,155261
16,2020-01-17,33718,151763
17,2020-01-18,34059,173619
18,2020-01-19,28232,130776
19,2020-01-20,33323,137555
20,2020-01-21,30885,128144
21,2020-01-22,36740,146303
22,2020-01-23,31925,133894
23,2020-01-24,39174,168513
24,2020-01-25,26228,139957
25,2020-01-26,24557,112985
26,2020-01-27,36648,144199
27,2020-01-28,29324,125134
28,2020-01-29,29853,125257
29,2020-01-30,32330,138051
30,2020-01-31,41452,171695
