,Date,Essential,NonEssential
0,2020-01-01,19089,106438
1,2020-01-02,31556,163457
2,2020-01-03,31995,169165
3,2020-01-04,26706,153813
4,2020-01-05,23412,126580
5,2020-01-06,30982,148846
6,2020-01-07,31053,154646
7,2020-01-08,32371,165037
8,2020-01-09,32860,167235
9,2020-01-10,33436,180336
10,2020-01-11,28457,168551
11,2020-01-12,23982,130524
12,2020-01-13,29827,148521
13,2020-01-14,25446,136434
14,2020-01-15,32236,166109
15,2020-01-16,31388,162000
16,2020-01-17,27970,157511
17,2020-01-18,29252,178426
18,2020-01-19,24129,134879
19,2020-01-20,28823,142055
20,2020-01-21,25135,133894
21,2020-01-22,30172,152871
22,2020-01-23,26237,139582
23,2020-01-24,32408,175279
24,2020-01-25,22402,143783
25,2020-01-26,20752,116790
26,2020-01-27,30240,150607
27,2020-01-28,24055,130403
28,2020-01-29,24350,130760
29,2020-01-30,26505,143876
30,2020-01-31,34305,178842
