,Date,Essential,NonEssential
0,2020-03-01,26069,124715
1,2020-03-02,32061,130857
2,2020-03-03,31200,132909
3,2020-03-04,28231,123043
4,2020-03-05,30080,131291
5,2020-03-06,31522,148855
6,2020-03-07,26446,146389
7,2020-03-08,23132,109645
8,2020-03-09,27924,114932
9,2020-03-10,26832,115079
10,2020-03-11,26538,113856
11,2020-03-12,29199,118369
12,2020-03-13,36546,138540
13,2020-03-14,25809,113070
14,2020-03-15,22111,87221
15,2020-03-16,28012,92690
16,2020-03-17,28997,90961
17,2020-03-18,27634,84162
18,2020-03-19,26327,81597
19,2020-03-20,22777,69648
20,2020-03-21,15880,49345
21,2020-03-22,18311,54243
22,2020-03-23,25290,71329
23,2020-03-24,22360,65681
24,2020-03-25,27103,78596
25,2020-03-26,21660,65656
26,2020-03-27,21537,67684
27,2020-03-28,19786,65022
28,2020-03-29,22410,90604
29,2020-03-30,21738,63805
30,2020-03-31,19107,55373
