,Date,Essential,NonEssential
0,2020-03-01,21970,128814
1,2020-03-02,26109,136809
2,2020-03-03,25580,138529
3,2020-03-04,23076,128198
4,2020-03-05,24689,136682
5,2020-03-06,26051,154326
6,2020-03-07,22458,150377
7,2020-03-08,19649,113128
8,2020-03-09,23419,119437
9,2020-03-10,22377,119534
10,2020-03-11,22083,118311
11,2020-03-12,24584,122984
12,2020-03-13,30895,144191
13,2020-03-14,22217,116662
14,2020-03-15,19035,90297
15,2020-03-16,23628,97074
16,2020-03-17,24251,95707
17,2020-03-18,23289,88507
18,2020-03-19,22233,85691
19,2020-03-20,19196,73229
20,2020-03-21,13609,51616
21,2020-03-22,15713,56841
22,2020-03-23,21300,75319
23,2020-03-24,18766,69275
24,2020-03-25,22807,82892
25,2020-03-26,18230,69086
26,2020-03-27,18123,71098
27,2020-03-28,17056,67752
28,2020-03-29,19174,93840
29,2020-03-30,18288,67255
30,2020-03-31,16132,58348
