,Date,Essential,NonEssential
0,2020-02-01,33819,225776
1,2020-02-02,27027,167568
2,2020-02-03,33708,191802
3,2020-02-04,33966,191298
4,2020-02-05,33474,191526
5,2020-02-06,32926,194540
6,2020-02-07,34767,212975
7,2020-02-08,30866,212538
8,2020-02-09,25215,168279
9,2020-02-10,35778,201274
10,2020-02-11,33873,197181
11,2020-02-12,34328,202006
12,2020-02-13,35121,207932
13,2020-02-14,35743,221367
14,2020-02-15,29277,208885
15,2020-02-16,25408,189292
16,2020-02-17,27347,174893
17,2020-02-18,32703,194219
18,2020-02-19,35240,204476
19,2020-02-20,36264,220655
20,2020-02-21,36099,220182
21,2020-02-22,28756,205155
22,2020-02-23,25847,184787
23,2020-02-24,34754,204441
24,2020-02-25,25605,141822
25,2020-02-26,37035,214184
26,2020-02-27,35454,211454
27,2020-02-28,34459,210384
28,2020-02-29,16554,113019
