,Date,Essential,NonEssential
0,2020-02-01,26808,232787
1,2020-02-02,21663,172932
2,2020-02-03,26503,199007
3,2020-02-04,26355,198909
4,2020-02-05,26028,198972
5,2020-02-06,25481,201985
6,2020-02-07,27066,220676
7,2020-02-08,24335,219069
8,2020-02-09,20174,173320
9,2020-02-10,27818,209234
10,2020-02-11,26177,204877
11,2020-02-12,26517,209817
12,2020-02-13,27155,215898
13,2020-02-14,27571,229539
14,2020-02-15,22912,215250
15,2020-02-16,19865,194835
16,2020-02-17,21694,180546
17,2020-02-18,25487,201435
18,2020-02-19,27283,212433
19,2020-02-20,28321,228598
20,2020-02-21,28369,227912
21,2020-02-22,22400,211511
22,2020-02-23,20320,190314
23,2020-02-24,26993,212202
24,2020-02-25,19809,147618
25,2020-02-26,28992,222227
26,2020-02-27,27333,219575
27,2020-02-28,26640,218203
28,2020-02-29,12961,116612
