,Date,Essential,NonEssential
0,2020-01-01,25687,171520
1,2020-01-02,35330,203243
2,2020-01-03,36111,211858
3,2020-01-04,30920,205061
4,2020-01-05,28883,189054
5,2020-01-06,38281,205761
6,2020-01-07,40394,211347
7,2020-01-08,41923,220428
8,2020-01-09,42158,224374
9,2020-01-10,42348,232685
10,2020-01-11,34477,217036
11,2020-01-12,31740,199672
12,2020-01-13,37624,196932
13,2020-01-14,37853,199024
14,2020-01-15,41860,221489
15,2020-01-16,38790,211419
16,2020-01-17,38106,217310
17,2020-01-18,33174,211727
18,2020-01-19,30352,195936
19,2020-01-20,30992,175975
20,2020-01-21,38250,206059
21,2020-01-22,39492,212390
22,2020-01-23,38659,214910
23,2020-01-24,39488,219461
24,2020-01-25,28994,189650
25,2020-01-26,28103,180554
26,2020-01-27,39292,206180
27,2020-01-28,34979,189593
28,2020-01-29,35939,193034
29,2020-01-30,37726,215427
30,2020-01-31,40460,230851
