,Date,Essential,NonEssential
0,2020-01-01,20572,176635
1,2020-01-02,27909,210664
2,2020-01-03,28533,219436
3,2020-01-04,24882,211099
4,2020-01-05,23207,194730
5,2020-01-06,30211,213831
6,2020-01-07,31872,219869
7,2020-01-08,32997,229354
8,2020-01-09,33192,233340
9,2020-01-10,33363,241670
10,2020-01-11,27536,223977
11,2020-01-12,25302,206110
12,2020-01-13,28917,205639
13,2020-01-14,29190,207687
14,2020-01-15,32080,231269
15,2020-01-16,30002,220207
16,2020-01-17,29506,225910
17,2020-01-18,26523,218378
18,2020-01-19,24163,202125
19,2020-01-20,24842,182125
20,2020-01-21,29216,215093
21,2020-01-22,30411,221471
22,2020-01-23,29933,223636
23,2020-01-24,30493,228456
24,2020-01-25,23009,195635
25,2020-01-26,22522,186135
26,2020-01-27,30270,215202
27,2020-01-28,26963,197609
28,2020-01-29,27284,201689
29,2020-01-30,28896,224257
30,2020-01-31,31455,239856
