,Date,Essential,NonEssential
0,2020-03-01,26572,169080
1,2020-03-02,33923,181329
2,2020-03-03,33643,223440
3,2020-03-04,32342,212095
4,2020-03-05,32531,202479
5,2020-03-06,33035,208890
6,2020-03-07,27327,198460
7,2020-03-08,24412,176492
8,2020-03-09,31381,179288
9,2020-03-10,29158,162247
10,2020-03-11,31099,170566
11,2020-03-12,30613,159784
12,2020-03-13,33292,163573
13,2020-03-14,24558,130359
14,2020-03-15,20903,117237
15,2020-03-16,24772,109001
16,2020-03-17,23054,104309
17,2020-03-18,22212,98631
18,2020-03-19,22000,93707
19,2020-03-20,17385,74959
20,2020-03-21,12711,58569
21,2020-03-22,14882,68525
22,2020-03-23,20641,82206
23,2020-03-24,20828,84057
24,2020-03-25,22198,94758
25,2020-03-26,18435,77123
26,2020-03-27,17363,71124
27,2020-03-28,14502,64369
28,2020-03-29,25521,149256
29,2020-03-30,17625,74994
30,2020-03-31,11535,45842
