,Date,Essential,NonEssential
0,2020-03-01,21309,174343
1,2020-03-02,26785,188467
2,2020-03-03,26559,230524
3,2020-03-04,25371,219066
4,2020-03-05,25667,209343
5,2020-03-06,26152,215773
6,2020-03-07,22051,203736
7,2020-03-08,19647,181257
8,2020-03-09,24735,185934
9,2020-03-10,22849,168556
10,2020-03-11,24437,177228
11,2020-03-12,24450,165947
12,2020-03-13,26874,169991
13,2020-03-14,20050,134867
14,2020-03-15,17155,120985
15,2020-03-16,20029,113744
16,2020-03-17,18561,108802
17,2020-03-18,17907,102936
18,2020-03-19,17848,97859
19,2020-03-20,14100,78244
20,2020-03-21,10327,60953
21,2020-03-22,12142,71265
22,2020-03-23,16520,86327
23,2020-03-24,16821,88064
24,2020-03-25,17865,99091
25,2020-03-26,14725,80833
26,2020-03-27,13977,74510
27,2020-03-28,11726,67145
28,2020-03-29,20471,154306
29,2020-03-30,14109,78510
30,2020-03-31,9248,48129
