,Date,Essential,NonEssential
0,2020-02-01,28529,303869
1,2020-02-02,22681,232717
2,2020-02-03,34975,307061
3,2020-02-04,34165,299249
4,2020-02-05,33528,290894
5,2020-02-06,32628,292303
6,2020-02-07,33650,313278
7,2020-02-08,26721,295112
8,2020-02-09,22371,233605
9,2020-02-10,34728,291121
10,2020-02-11,33917,295834
11,2020-02-12,36235,314910
12,2020-02-13,33817,305194
13,2020-02-14,33503,333290
14,2020-02-15,22940,281235
15,2020-02-16,21453,259198
16,2020-02-17,23059,257231
17,2020-02-18,29865,284244
18,2020-02-19,32469,308194
19,2020-02-20,34608,328989
20,2020-02-21,31957,317498
21,2020-02-22,24909,295144
22,2020-02-23,22075,250842
23,2020-02-24,34162,304677
24,2020-02-25,27464,248403
25,2020-02-26,37291,337492
26,2020-02-27,36900,336341
27,2020-02-28,34284,327294
28,2020-02-29,18719,197680
