,Date,Essential,NonEssential
0,2020-02-01,18750,313648
1,2020-02-02,15388,240010
2,2020-02-03,23332,318704
3,2020-02-04,22728,310686
4,2020-02-05,22175,302247
5,2020-02-06,21667,303264
6,2020-02-07,22032,324896
7,2020-02-08,17578,304255
8,2020-02-09,14874,241102
9,2020-02-10,23072,302777
10,2020-02-11,22622,307129
11,2020-02-12,24147,326998
12,2020-02-13,22417,316594
13,2020-02-14,21990,344803
14,2020-02-15,15311,288864
15,2020-02-16,14474,266177
16,2020-02-17,15513,264777
17,2020-02-18,20434,293675
18,2020-02-19,22122,318541
19,2020-02-20,23404,340193
20,2020-02-21,21558,327897
21,2020-02-22,16667,303386
22,2020-02-23,14765,258152
23,2020-02-24,22637,316202
24,2020-02-25,18046,257821
25,2020-02-26,24483,350300
26,2020-02-27,24539,348702
27,2020-02-28,22515,339063
28,2020-02-29,12313,204086
