,Date,Essential,NonEssential
0,2020-01-01,24083,267114
1,2020-01-02,37163,348291
2,2020-01-03,35932,350759
3,2020-01-04,26622,305299
4,2020-01-05,22522,250642
5,2020-01-06,36825,317833
6,2020-01-07,40283,336332
7,2020-01-08,41219,346364
8,2020-01-09,42250,355365
9,2020-01-10,41622,373188
10,2020-01-11,31422,337822
11,2020-01-12,26076,279086
12,2020-01-13,39159,318600
13,2020-01-14,36105,297936
14,2020-01-15,41368,340917
15,2020-01-16,39732,329260
16,2020-01-17,35848,320948
17,2020-01-18,26163,274380
18,2020-01-19,25069,267526
19,2020-01-20,25896,241597
20,2020-01-21,36701,293266
21,2020-01-22,41480,337094
22,2020-01-23,38342,320575
23,2020-01-24,40720,358296
24,2020-01-25,24737,252640
25,2020-01-26,24421,239391
26,2020-01-27,40220,323318
27,2020-01-28,36534,301042
28,2020-01-29,38270,314888
29,2020-01-30,38807,333936
30,2020-01-31,43093,387798
