,Date,Essential,NonEssential
0,2020-01-01,15807,275390
1,2020-01-02,24686,360768
2,2020-01-03,23914,362777
3,2020-01-04,17563,314358
4,2020-01-05,14767,258397
5,2020-01-06,24746,329912
6,2020-01-07,26698,349917
7,2020-01-08,27282,360301
8,2020-01-09,28070,369545
9,2020-01-10,27297,387513
10,2020-01-11,20558,348686
11,2020-01-12,17252,287910
12,2020-01-13,25989,331770
13,2020-01-14,23661,310380
14,2020-01-15,27348,354937
15,2020-01-16,26302,342690
16,2020-01-17,23534,333262
17,2020-01-18,17094,283449
18,2020-01-19,16202,276393
19,2020-01-20,17270,250223
20,2020-01-21,24385,305582
21,2020-01-22,27449,351125
22,2020-01-23,25372,333545
23,2020-01-24,26830,372186
24,2020-01-25,15600,261777
25,2020-01-26,15483,248329
26,2020-01-27,26784,336754
27,2020-01-28,24097,313479
28,2020-01-29,25395,327763
29,2020-01-30,25755,346988
30,2020-01-31,28639,402252
