,Date,Essential,NonEssential
0,2020-03-01,19643,229674
1,2020-03-02,29391,288442
2,2020-03-03,27211,285372
3,2020-03-04,27223,289140
4,2020-03-05,28141,302008
5,2020-03-06,27101,295383
6,2020-03-07,20736,266819
7,2020-03-08,18162,236206
8,2020-03-09,27574,294755
9,2020-03-10,26597,267440
10,2020-03-11,25604,259145
11,2020-03-12,25398,240502
12,2020-03-13,25116,239183
13,2020-03-14,15940,171958
14,2020-03-15,13851,147594
15,2020-03-16,17768,149828
16,2020-03-17,16660,134067
17,2020-03-18,16429,134569
18,2020-03-19,15383,121098
19,2020-03-20,13234,110276
20,2020-03-21,8975,78327
21,2020-03-22,8884,76219
22,2020-03-23,11568,82820
23,2020-03-24,12587,99020
24,2020-03-25,13789,101534
25,2020-03-26,11556,92884
26,2020-03-27,11117,91258
27,2020-03-28,8017,60834
28,2020-03-29,13488,141121
29,2020-03-30,10935,80134
30,2020-03-31,8150,56595
