,Date,Essential,NonEssential
0,2020-03-01,12458,236859
1,2020-03-02,18454,299379
2,2020-03-03,16820,295763
3,2020-03-04,16939,299424
4,2020-03-05,17428,312721
5,2020-03-06,16554,305930
6,2020-03-07,12902,274653
7,2020-03-08,11476,242892
8,2020-03-09,17260,305069
9,2020-03-10,16768,277269
10,2020-03-11,15847,268902
11,2020-03-12,16120,249780
12,2020-03-13,15815,248484
13,2020-03-14,10187,177711
14,2020-03-15,9083,152362
15,2020-03-16,11591,156005
16,2020-03-17,10645,140082
17,2020-03-18,10787,140211
18,2020-03-19,9811,126670
19,2020-03-20,8409,115101
20,2020-03-21,5753,81549
21,2020-03-22,5828,79275
22,2020-03-23,7529,86859
23,2020-03-24,8235,103372
24,2020-03-25,8812,106511
25,2020-03-26,7593,96847
26,2020-03-27,7164,95211
27,2020-03-28,5109,63742
28,2020-03-29,8831,145778
29,2020-03-30,7229,83840
30,2020-03-31,5420,59325
