,Date,Essential,NonEssential
0,2020-02-01,36476,159653
1,2020-02-02,27924,110399
2,2020-02-03,36872,137498
3,2020-02-04,34198,130683
4,2020-02-05,33148,127910
5,2020-02-06,33313,129933
6,2020-02-07,35519,144925
7,2020-02-08,33227,151747
8,2020-02-09,28212,120931
9,2020-02-10,34966,135379
10,2020-02-11,33966,133559
11,2020-02-12,36187,141087
12,2020-02-13,34806,136864
13,2020-02-14,36915,153937
14,2020-02-15,30415,146302
15,2020-02-16,27452,126246
16,2020-02-17,30866,128795
17,2020-02-18,33069,129551
18,2020-02-19,33451,135755
19,2020-02-20,36138,145273
20,2020-02-21,35905,158098
21,2020-02-22,32061,156241
22,2020-02-23,28427,122240
23,2020-02-24,35521,138644
24,2020-02-25,33600,126833
25,2020-02-26,39661,160274
26,2020-02-27,38432,156274
27,2020-02-28,37006,158064
28,2020-02-29,23498,105315
