,Date,Essential,NonEssential
0,2020-02-01,29355,166774
1,2020-02-02,22784,115539
2,2020-02-03,28743,145627
3,2020-02-04,26594,138287
4,2020-02-05,25721,135337
5,2020-02-06,25958,137288
6,2020-02-07,27818,152626
7,2020-02-08,26929,158045
8,2020-02-09,22971,126172
9,2020-02-10,27435,142910
10,2020-02-11,26504,141021
11,2020-02-12,28082,149192
12,2020-02-13,27123,144547
13,2020-02-14,28817,162035
14,2020-02-15,24760,151957
15,2020-02-16,22243,131455
16,2020-02-17,25074,134587
17,2020-02-18,25703,136917
18,2020-02-19,26075,143131
19,2020-02-20,28194,153217
20,2020-02-21,28316,165687
21,2020-02-22,25866,162436
22,2020-02-23,23066,127601
23,2020-02-24,27644,146521
24,2020-02-25,25860,134573
25,2020-02-26,30833,169102
26,2020-02-27,29883,164823
27,2020-02-28,28922,166148
28,2020-02-29,19000,109813
