,Date,Essential,NonEssential
0,2020-01-01,26281,115319
1,2020-01-02,35414,127999
2,2020-01-03,36018,137013
3,2020-01-04,30077,126464
4,2020-01-05,27093,113656
5,2020-01-06,36384,132013
6,2020-01-07,37581,131992
7,2020-01-08,39370,140627
8,2020-01-09,40485,144973
9,2020-01-10,41442,157539
10,2020-01-11,35969,153246
11,2020-01-12,31185,125207
12,2020-01-13,38055,136257
13,2020-01-14,34699,130002
14,2020-01-15,41656,154482
15,2020-01-16,39213,149020
16,2020-01-17,36707,147928
17,2020-01-18,31072,129372
18,2020-01-19,29936,122177
19,2020-01-20,31920,117338
20,2020-01-21,35471,134381
21,2020-01-22,40590,152757
22,2020-01-23,36753,140422
23,2020-01-24,42683,168007
24,2020-01-25,27600,120046
25,2020-01-26,28794,114305
26,2020-01-27,40155,145870
27,2020-01-28,34984,131123
28,2020-01-29,36876,136982
29,2020-01-30,38225,147104
30,2020-01-31,44799,177862
