,Date,Essential,NonEssential
0,2020-01-01,21067,120533
1,2020-01-02,27290,136123
2,2020-01-03,27862,145169
3,2020-01-04,23997,132544
4,2020-01-05,21723,119026
5,2020-01-06,27883,140514
6,2020-01-07,28619,140954
7,2020-01-08,29977,150020
8,2020-01-09,30664,154794
9,2020-01-10,31934,167047
10,2020-01-11,28692,160523
11,2020-01-12,24877,131515
12,2020-01-13,28964,145348
13,2020-01-14,26741,137960
14,2020-01-15,31777,164361
15,2020-01-16,30017,158216
16,2020-01-17,28568,156067
17,2020-01-18,24873,135571
18,2020-01-19,23811,128302
19,2020-01-20,25803,123455
20,2020-01-21,27087,142765
21,2020-01-22,31060,162287
22,2020-01-23,28509,148666
23,2020-01-24,32948,177742
24,2020-01-25,22151,125495
25,2020-01-26,22963,120136
26,2020-01-27,30743,155282
27,2020-01-28,26641,139466
28,2020-01-29,28156,145702
29,2020-01-30,29292,156037
30,2020-01-31,34393,188268
