,Date,Essential,NonEssential
0,2020-03-01,28036,115791
1,2020-03-02,34435,128009
2,2020-03-03,33029,128052
3,2020-03-04,32096,124438
4,2020-03-05,32844,128886
5,2020-03-06,32554,130490
6,2020-03-07,28621,130881
7,2020-03-08,25935,110755
8,2020-03-09,32824,123124
9,2020-03-10,31586,113541
10,2020-03-11,31134,115247
11,2020-03-12,34704,112990
12,2020-03-13,38681,124579
13,2020-03-14,28442,102450
14,2020-03-15,25551,85782
15,2020-03-16,28735,81481
16,2020-03-17,24755,68408
17,2020-03-18,24042,70246
18,2020-03-19,24091,67258
19,2020-03-20,23294,66094
20,2020-03-21,16959,50273
21,2020-03-22,18771,51522
22,2020-03-23,19745,51979
23,2020-03-24,20318,58934
24,2020-03-25,23112,66861
25,2020-03-26,20794,60954
26,2020-03-27,20966,61714
27,2020-03-28,16553,46714
28,2020-03-29,24379,87431
29,2020-03-30,20701,58196
30,2020-03-31,14977,40718
